region,date,between_0_and_4_kw,between_4_and_10_kw,between_10_and_50_kw,between_50kw_and_5_mw,between_5_and_25_mw,greater_than_25_mw,total
NI,2010-01-01,136,100,14,0,0,0,250
NI,2010-02-01,136,100,14,0,0,0,250
NI,2010-03-01,143,100,15,0,0,0,258
NI,2010-04-01,156,100,15,0,0,0,271
NI,2010-05-01,158,100,15,0,0,0,273
NI,2010-06-01,173,100,16,0,0,0,289
NI,2010-07-01,175,100,17,0,0,0,292
NI,2010-08-01,177,100,17,0,0,0,294
NI,2010-09-01,178,100,17,0,0,0,295
NI,2010-10-01,182,101,17,0,0,0,300
NI,2010-11-01,201,101,17,0,0,0,319
NI,2010-12-01,206,102,17,0,0,0,325
NI,2011-01-01,206,102,17,0,0,0,325
NI,2011-02-01,207,103,17,0,0,0,327
NI,2011-03-01,217,104,17,0,0,0,338
NI,2011-04-01,219,105,17,0,0,0,341
NI,2011-05-01,227,110,17,0,0,0,354
NI,2011-06-01,229,116,17,0,0,0,362
NI,2011-07-01,230,119,17,0,0,0,366
NI,2011-08-01,236,122,17,0,0,0,375
NI,2011-09-01,259,125,17,0,0,0,401
NI,2011-10-01,273,134,18,0,0,0,425
NI,2011-11-01,299,144,18,0,0,0,461
NI,2011-12-01,317,163,19,0,0,0,499
NI,2012-01-01,379,182,19,0,0,0,580
NI,2012-02-01,394,187,21,0,0,0,602
NI,2012-03-01,441,194,23,0,0,0,658
NI,2012-04-01,453,203,24,0,0,0,680
NI,2012-05-01,465,215,24,0,0,0,704
NI,2012-06-01,472,220,24,0,0,0,716
NI,2012-07-01,500,235,24,0,0,0,759
NI,2012-08-01,570,276,28,0,0,0,874
NI,2012-09-01,671,321,31,0,0,0,1023
NI,2012-10-01,729,406,38,1,0,0,1174
NI,2012-11-01,784,499,49,2,0,0,1334
NI,2012-12-01,826,577,54,2,0,0,1459
NI,2013-01-01,925,678,60,2,0,0,1665
NI,2013-02-01,1011,766,64,2,0,0,1843
NI,2013-03-01,1060,889,69,2,0,0,2020
NI,2013-04-01,1093,1007,74,2,0,0,2176
NI,2013-05-01,1166,1142,89,2,0,0,2399
NI,2013-06-01,1196,1273,112,2,0,0,2583
NI,2013-07-01,1261,1482,132,2,0,0,2877
NI,2013-08-01,1392,1771,178,2,0,0,3343
NI,2013-09-01,1501,2141,200,2,0,0,3844
NI,2013-10-01,1604,2463,225,2,0,0,4294
NI,2013-11-01,1688,2830,272,6,0,0,4796
NI,2013-12-01,1833,3099,306,6,0,0,5244
NI,2014-01-01,1893,3452,361,9,0,0,5715
NI,2014-02-01,1979,4457,567,14,0,0,7017
NI,2014-03-01,2095,4699,588,17,0,0,7399
NI,2014-04-01,2219,4937,614,17,0,0,7787
NI,2014-05-01,2392,5212,657,24,0,0,8285
NI,2014-06-01,2585,5505,692,29,0,0,8811
NI,2014-07-01,2784,5757,720,37,0,0,9298
NI,2014-08-01,3002,6036,741,39,0,0,9818
NI,2014-09-01,3196,6373,782,40,0,0,10391
NI,2014-10-01,3371,6712,814,44,0,0,10941
NI,2014-11-01,3598,7007,852,45,0,0,11502
NI,2014-12-01,3738,7249,889,49,0,0,11925
NI,2015-01-01,3860,7466,952,54,0,0,12332
NI,2015-02-01,3987,7725,1051,54,0,0,12817
NI,2015-03-01,4109,7982,1193,61,0,0,13345
NI,2015-04-01,4225,8249,1247,64,0,0,13785
NI,2015-05-01,4379,8521,1296,71,0,0,14267
NI,2015-06-01,4542,8796,1360,74,0,0,14772
NI,2015-07-01,4720,9070,1398,78,0,0,15266
NI,2015-08-01,4962,9530,1495,92,0,0,16079
NI,2015-09-01,5331,10501,1761,107,0,0,17700
NI,2015-10-01,5505,10637,1779,110,0,0,18031
NI,2015-11-01,5727,10766,1796,110,0,0,18399
NI,2015-12-01,5958,10874,1809,111,0,0,18752
NI,2016-01-01,6215,10997,1825,111,0,0,19148
NI,2016-02-01,6478,11101,1838,112,0,0,19529
NI,2016-03-01,6761,11233,1860,112,0,0,19966
NI,2016-04-01,6966,11375,1879,113,1,0,20334
NI,2016-05-01,7035,11528,1908,114,1,0,20586
NI,2016-06-01,7120,11708,1952,115,1,0,20896
NI,2016-07-01,7227,11838,1995,116,1,0,21177
NI,2016-08-01,7332,12052,2063,117,1,0,21565
NI,2016-09-01,7847,12488,2265,117,1,0,22718
NI,2016-10-01,7874,12500,2269,117,1,0,22761
NI,2016-11-01,7908,12531,2274,117,1,0,22831
NI,2016-12-01,7922,12561,2280,117,1,0,22881
NI,2017-01-01,7953,12581,2282,120,1,0,22937
NI,2017-02-01,8073,12618,2297,123,3,0,23114
NI,2017-03-01,8313,12736,2345,132,8,1,23535
NI,2017-04-01,8323,12739,2347,132,8,1,23550
NI,2017-05-01,8345,12740,2347,133,8,1,23574
NI,2017-06-01,8404,12740,2349,133,8,1,23635
NI,2017-07-01,8413,12741,2350,133,8,1,23646
NI,2017-08-01,8431,12746,2353,133,8,1,23672
NI,2017-09-01,8458,12749,2353,133,8,1,23702
NI,2017-10-01,8490,12749,2354,133,8,1,23735
NI,2017-11-01,8538,12752,2359,133,8,1,23791
NI,2017-12-01,8547,12753,2364,133,10,1,23808
NI,2018-01-01,8562,12755,2364,133,10,2,23826
NI,2018-02-01,8591,12766,2365,133,11,2,23868
NI,2018-03-01,8623,12779,2365,140,12,2,23921
NI,2018-04-01,8641,12791,2368,140,13,2,23955
NI,2018-05-01,8649,12798,2369,140,14,2,23972
NI,2018-06-01,8664,12806,2370,140,14,2,23996
NI,2018-07-01,8671,12816,2371,140,14,2,24014
NI,2018-08-01,8700,12827,2374,140,14,2,24057
NI,2018-09-01,8702,12833,2375,140,14,2,24066
NI,2018-10-01,8781,12835,2376,140,14,2,24148
NI,2018-11-01,8824,12838,2378,140,14,2,24196
NI,2018-12-01,8827,12844,2380,140,14,2,24207
NI,2019-01-01,8889,12849,2380,140,14,2,24274
NI,2019-02-01,8933,12856,2382,140,14,2,24327
NI,2019-03-01,8941,12861,2382,140,14,2,24340
NI,2019-04-01,8965,12863,2382,140,14,2,24366
NI,2019-05-01,8984,12866,2382,140,14,2,24388
NI,2019-06-01,9021,12872,2385,140,14,2,24434
NI,2019-07-01,9047,12878,2385,140,14,2,24466
NI,2019-08-01,9070,12882,2386,140,14,2,24494
NI,2019-09-01,9103,12889,2388,140,14,2,24536
NI,2019-10-01,9115,12892,2389,140,14,2,24552
NI,2019-11-01,9133,12894,2390,140,14,2,24573
NI,2019-12-01,9135,12897,2391,140,14,2,24579
NI,2020-01-01,9143,12904,2392,140,14,2,24595
NI,2020-02-01,9151,12915,2392,140,14,2,24614
NI,2020-03-01,9168,12921,2393,140,14,2,24638
NI,2020-04-01,9168,12922,2394,140,14,2,24640
NI,2020-05-01,9169,12922,2394,140,14,2,24641
NI,2020-06-01,9194,12933,2396,140,14,2,24679
NI,2020-07-01,9195,12945,2399,140,14,2,24695
NI,2020-08-01,9237,12953,2399,142,14,2,24747
NI,2020-09-01,9255,12964,2401,142,14,2,24778
NI,2020-10-01,9278,12967,2401,142,14,2,24804
NI,2020-11-01,9284,12979,2401,142,14,2,24822
NI,2020-12-01,9284,12984,2401,142,14,2,24827
NI,2021-01-01,9321,12990,2402,142,14,2,24871
NI,2021-02-01,9325,13000,2402,142,14,2,24885
NI,2021-03-01,9342,13015,2404,142,14,2,24919
NI,2021-04-01,9349,13034,2409,142,14,2,24950
NI,2021-05-01,9366,13067,2412,142,14,2,25003
NI,2021-06-01,9397,13099,2416,142,14,2,25070
NI,2021-07-01,9410,13116,2417,142,14,2,25101
NI,2021-08-01,9441,13149,2418,142,14,2,25166
NI,2021-09-01,9492,13200,2420,142,14,2,25270
NI,2021-10-01,9529,13223,2424,142,14,2,25334
NI,2021-11-01,9567,13292,2426,142,14,2,25443
NI,2021-12-01,9578,13322,2429,142,14,2,25487
NI,2022-01-01,9605,13403,2433,142,14,2,25599
NI,2022-02-01,9637,13449,2441,142,14,2,25685
NI,2022-03-01,9651,13523,2450,143,14,2,25783
NI,2022-04-01,9657,13598,2454,143,14,2,25868
NI,2022-05-01,9694,13734,2463,144,14,2,26051
NI,2022-06-01,9706,13855,2475,144,14,2,26196
NI,2022-07-01,9724,13964,2484,144,14,2,26332
NI,2022-08-01,9755,14085,2495,144,14,2,26495
NI,2022-09-01,9782,14248,2507,144,14,2,26697
NI,2022-10-01,9804,14396,2530,144,14,2,26890
NI,2022-11-01,9830,14604,2547,144,14,2,27141
NI,2022-12-01,9844,14730,2561,144,14,2,27295
NI,2023-01-01,9860,14907,2578,144,14,2,27505
NI,2023-02-01,9880,15045,2601,144,14,2,27686
NI,2023-03-01,9902,15172,2622,144,14,2,27856
NI,2023-04-01,9913,15255,2650,144,14,2,27978
NI,2023-05-01,9927,15388,2670,144,14,2,28145
NI,2023-06-01,9939,15533,2684,144,14,2,28316
NI,2023-07-01,9958,15665,2695,144,14,2,28478
NI,2023-08-01,9988,15822,2702,144,14,2,28672
NI,2023-09-01,10027,15947,2719,145,14,2,28854
NI,2023-10-01,10069,16079,2749,151,14,2,29064
NI,2023-11-01,10092,16204,2761,151,14,2,29224
NI,2023-12-01,10101,16289,2772,151,14,2,29329
NI,2024-01-01,10115,16376,2781,151,14,2,29439
NI,2024-02-01,10184,16475,2798,151,14,2,29624
NI,2024-03-01,10198,16540,2804,151,14,2,29709
NI,2024-04-01,10271,16645,2831,151,14,2,29914
NI,2024-05-01,10318,16756,2839,151,14,2,30080
NI,2024-06-01,10404,16889,2847,151,14,2,30307
NI,2024-07-01,10448,17015,2854,152,14,2,30485
NI,2024-08-01,10514,17147,2862,152,14,2,30691
NI,2024-09-01,10580,17256,2866,152,14,2,30870
NI,2024-10-01,10695,17369,2871,152,14,2,31103
NI,2024-11-01,10819,17482,2879,152,14,2,31348
NI,2024-12-01,10852,17533,2884,153,14,2,31438
NI,2025-01-01,10893,17630,2889,153,14,2,31581
NI,2025-02-01,10962,17723,2900,153,14,2,31754
NI,2025-03-01,11042,17858,2906,153,14,2,31975
NI,2025-04-01,11105,17979,2919,153,14,2,32172
NI,2025-05-01,11228,18178,2932,153,14,2,32507
NI,2025-06-01,11318,18358,2953,153,14,2,32798
NI,2025-07-01,11383,18500,2965,154,14,2,33018
NI,2025-08-01,11459,18658,2979,155,14,2,33267
NI,2025-09-01,11500,18821,2989,155,14,2,33481
NI,2025-10-01,11603,18998,3006,155,14,2,33778
NI,2025-11-01,11746,19166,3024,155,14,2,34107
NI,2025-12-01,11794,19265,3034,155,14,2,34264
NI,2026-01-01,11871,19413,3047,155,14,2,34502
NI,2026-02-01,12099,19415,3058,156,14,2,34744
